TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.QMD.managed.CWHvm_FDC_HW_L.CT,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,5,50,10.0,0.0,10000.0,1.0,1.0,14.39900016784668,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,6,60,10.0,0.0,10000.0,1.0,1.0,14.39900016784668,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,9,90,10.0,0.0,10000.0,1.0,1.0,14.39900016784668,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,10,100,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,11,110,10.0,0.0,10000.0,1.0,1.0,14.39900016784668,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,12,120,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,14,140,10.0,0.0,10000.0,1.0,1.0,14.39900016784668,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,15,150,10.0,0.0,10000.0,1.0,1.0,14.39900016784668,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,16,160,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,17,170,10.0,0.0,10000.0,1.0,1.0,14.39900016784668,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,18,180,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,19,190,10.0,0.0,10000.0,1.0,1.0,14.39900016784668,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,20,200,10.0,0.0,10000.0,1.0,1.0,14.416999816894531,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,21,210,10.0,0.0,10000.0,1.0,1.0,14.395000457763672,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,22,220,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,24,240,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,26,260,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,27,270,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,28,280,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,29,290,10.0,0.0,10000.0,1.0,1.0,14.39900016784668,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CT,30,300,10.0,0.0,10000.0,1.0,1.0,14.39900016784668,0.0
