TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,1,10,10.0,0.0,10000.0,1.0,1.0,0.0020000000949949026,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,2,20,10.0,0.0,10000.0,1.0,1.0,0.1289999932050705,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,3,30,10.0,0.0,10000.0,1.0,1.0,0.527999997138977,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,4,40,10.0,0.0,10000.0,1.0,1.0,0.01600000075995922,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,6,60,10.0,0.0,10000.0,1.0,1.0,0.024000000208616257,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,7,70,10.0,0.0,10000.0,1.0,1.0,0.024000000208616257,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,9,90,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,10,100,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,11,110,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,12,120,10.0,0.0,10000.0,1.0,1.0,0.382999986410141,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,13,130,10.0,0.0,10000.0,1.0,1.0,0.45899999141693115,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,14,140,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,15,150,10.0,0.0,10000.0,1.0,1.0,0.05400000140070915,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,16,160,10.0,0.0,10000.0,1.0,1.0,0.10999999940395355,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,18,180,10.0,0.0,10000.0,1.0,1.0,0.032999999821186066,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,19,190,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,20,200,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,21,210,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,22,220,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,24,240,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,25,250,10.0,0.0,10000.0,1.0,1.0,0.0010000000474974513,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,26,260,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,27,270,10.0,0.0,10000.0,1.0,1.0,0.0949999988079071,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,28,280,10.0,0.0,10000.0,1.0,1.0,0.00800000037997961,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,29,290,10.0,0.0,10000.0,1.0,1.0,0.10400000214576721,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.SS.CC,30,300,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
