TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,1,10,10.0,0.0,10000.0,1.0,1.0,0.5490000247955322,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,3,30,10.0,0.0,10000.0,1.0,1.0,2.196000099182129,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,4,40,10.0,0.0,10000.0,1.0,1.0,1.9579999446868896,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,5,50,10.0,0.0,10000.0,1.0,1.0,0.8130000233650208,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,6,60,10.0,0.0,10000.0,1.0,1.0,5.322999954223633,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,8,80,10.0,0.0,10000.0,1.0,1.0,1.7589999437332153,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,9,90,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,10,100,10.0,0.0,10000.0,1.0,1.0,1.7359999418258667,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,11,110,10.0,0.0,10000.0,1.0,1.0,1.9579999446868896,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,12,120,10.0,0.0,10000.0,1.0,1.0,1.11899995803833,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,14,140,10.0,0.0,10000.0,1.0,1.0,0.6869999766349792,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,15,150,10.0,0.0,10000.0,1.0,1.0,3.930000066757202,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,16,160,10.0,0.0,10000.0,1.0,1.0,1.5190000534057617,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,18,180,10.0,0.0,10000.0,1.0,1.0,2.0959999561309814,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,19,190,10.0,0.0,10000.0,1.0,1.0,1.11899995803833,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,20,200,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,21,210,10.0,0.0,10000.0,1.0,1.0,1.9759999513626099,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,22,220,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,23,230,10.0,0.0,10000.0,1.0,1.0,2.059000015258789,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,24,240,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,25,250,10.0,0.0,10000.0,1.0,1.0,1.88100004196167,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,26,260,10.0,0.0,10000.0,1.0,1.0,0.609000027179718,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,27,270,10.0,0.0,10000.0,1.0,1.0,6.111999988555908,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,28,280,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,29,290,10.0,0.0,10000.0,1.0,1.0,1.7009999752044678,0.0
product.Logs_Grade_U.managed.CWHvm_FDC_HW_H.BA.CC,30,300,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
