TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,3,30,10.0,0.0,10000.0,1.0,1.0,0.1379999965429306,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,5,50,10.0,0.0,10000.0,1.0,1.0,0.029999999329447746,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,6,60,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,8,80,10.0,0.0,10000.0,1.0,1.0,0.7770000100135803,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,9,90,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,10,100,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,11,110,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,12,120,10.0,0.0,10000.0,1.0,1.0,0.02199999988079071,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,14,140,10.0,0.0,10000.0,1.0,1.0,0.9300000071525574,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,15,150,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,16,160,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,18,180,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,19,190,10.0,0.0,10000.0,1.0,1.0,0.3449999988079071,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,20,200,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,21,210,10.0,0.0,10000.0,1.0,1.0,1.0700000524520874,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,22,220,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,24,240,10.0,0.0,10000.0,1.0,1.0,0.6470000147819519,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,26,260,10.0,0.0,10000.0,1.0,1.0,0.012000000104308128,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,27,270,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,28,280,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,29,290,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.CWHvm_HW_CW_M.YC.CC,30,300,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
