BLOCK,TYPE,TRACK,OFFSET,AREA
1,unmanaged,1,57,0.74569
1,managed,2,57,7.2987
2,unmanaged,3,57,0.412869
2,managed,4,57,5.4853
3,unmanaged,9,37,1.55045
3,managed,10,37,0.407275
4,unmanaged,11,57,0.5149
4,managed,12,57,6.8408
5,unmanaged,13,47,5.2018
6,unmanaged,14,87,0.7287
6,managed,15,87,2.32815
7,unmanaged,17,57,7.0386
7,managed,18,57,80.348
8,unmanaged,23,277,21.7776
9,unmanaged,11,57,0.295908
9,managed,12,57,3.93135
10,unmanaged,23,307,6.901
11,unmanaged,24,57,0.302988
11,managed,25,57,4.02541
12,unmanaged,26,47,0.98494
12,managed,27,47,1.62317
13,unmanaged,11,47,0.121814
13,managed,12,47,1.61839
14,unmanaged,32,47,8.1809
14,managed,33,47,38.2683
15,unmanaged,38,127,1.05359
15,managed,39,127,1.76271
16,unmanaged,41,127,0.057498
16,managed,42,127,0.7639
17,unmanaged,48,67,0.74872
17,managed,49,67,2.4515
18,unmanaged,23,407,7.6874
19,unmanaged,51,127,1.42244
19,managed,52,127,0.0382799
20,unmanaged,54,47,1.5739
20,managed,55,47,19.5835
21,unmanaged,60,67,1.1517
21,managed,61,67,15.3012
22,unmanaged,3,57,0.095092
22,managed,4,57,1.26337
23,unmanaged,62,127,2.4271
23,managed,63,127,7.4426
24,unmanaged,65,277,9.797
25,unmanaged,66,57,0.490778
25,managed,67,57,1.6143
26,unmanaged,68,47,1.04497
26,managed,69,47,7.2314
27,unmanaged,70,207,0.80492
27,managed,71,207,1.8445
28,unmanaged,73,57,0.70922
28,managed,74,57,6.7346
29,unmanaged,79,57,0.82419
29,managed,80,57,0.82723
30,unmanaged,81,107,2.78847
30,managed,82,107,0.7512
31,unmanaged,23,357,6.1982
32,unmanaged,84,277,2.82628
32,managed,85,277,5.5763
33,unmanaged,91,127,0.245158
33,managed,92,127,3.2571
34,unmanaged,98,237,3.81564
34,managed,99,237,0.33821
35,unmanaged,11,57,0.29525
35,managed,12,57,3.92261
36,unmanaged,11,47,0.397546
36,managed,12,47,5.2817
37,unmanaged,101,127,0.57565
37,managed,102,127,5.0957
38,unmanaged,23,407,5.6516
39,unmanaged,104,47,23.218
40,unmanaged,105,237,0.278611
40,managed,106,237,3.70155
41,unmanaged,108,57,0.357465
41,managed,109,57,2.48969
42,unmanaged,110,127,0.274191
42,managed,111,127,3.64283
43,unmanaged,112,47,0.496422
43,managed,113,47,3.09906
44,unmanaged,11,57,0.102116
44,managed,12,57,1.35669
45,unmanaged,118,107,0.328061
45,managed,119,107,2.24582
46,unmanaged,105,237,0.322346
46,managed,106,237,4.28259
47,unmanaged,121,77,0.50266
47,managed,122,77,5.0445
48,unmanaged,124,43,4.23053
48,managed,125,43,10.5577
49,unmanaged,126,47,5.9201
49,managed,127,47,3.91752
50,unmanaged,132,237,1.23038
50,managed,133,237,2.65301
51,unmanaged,135,103,1.82642
51,managed,136,103,13.0274
52,unmanaged,23,403,2.81301
53,unmanaged,138,177,3.07562
53,managed,139,177,0.284372
54,unmanaged,145,47,0.454058
54,managed,146,47,6.0325
55,unmanaged,23,277,9.1267
56,unmanaged,147,47,2.27544
56,managed,148,47,0.271832
57,unmanaged,149,47,2.4909
57,managed,150,47,3.29397
58,unmanaged,155,237,1.76604
58,managed,156,237,0.184228
59,unmanaged,23,357,1.42784
60,unmanaged,162,307,6.3747
61,unmanaged,60,107,1.08145
61,managed,61,107,14.3678
62,unmanaged,11,47,0.182329
62,managed,12,47,2.42237
63,unmanaged,11,47,0.280996
63,managed,12,47,3.73323
64,unmanaged,163,237,0.65894
64,managed,164,237,0.0100863
65,unmanaged,23,357,8.3464
66,unmanaged,170,57,2.74388
66,managed,171,57,1.04406
67,unmanaged,172,47,2.95269
67,managed,173,47,1.33186
68,unmanaged,174,57,4.87908
68,managed,175,57,14.1547
69,unmanaged,176,47,0.627
69,managed,177,47,8.3301
70,unmanaged,182,127,0.81655
70,managed,183,127,0.168092
71,unmanaged,189,127,0.161653
71,managed,190,127,2.14768
